river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Muonio,6,0.003,0.0012,0.0014,0.0042,Finland,90.0,26.2419
Mur,6,0.0748,0.0393,0.0248,0.1324,Austria,56.7846,21.07
Mureș,6,0.0312,0.0232,0.001,0.0638,Romania,57.9112,22.465
Murray,18,0.0278,0.0201,0.0073,0.074,Australia,-42.9026,163.6892
Nadym,6,0.0017,0.0012,0.0,0.003,Russia,90.0,81.8451
Nakdong,6,0.0118,0.0049,0.005,0.02,South Korea,41.5768,143.558
Namhan,6,0.0284,0.0147,0.015,0.0547,South Korea,44.9424,141.5796
Napo,6,0.0112,0.0041,0.004,0.016,Peru,-3.8157,-80.8911
Narva,12,0.0045,0.0026,0.002,0.009,Estonia,81.4233,30.8733
Nechako,6,0.0073,0.0047,0.001,0.0153,Canada,71.2205,-136.5997
Nederrijn,6,0.0302,0.0059,0.0225,0.0379,Netherlands,67.4477,6.7137
Nelson,6,0.0088,0.0041,0.002,0.0134,Canada,75.9064,-106.2335
Neman,6,0.0421,0.0077,0.0302,0.0501,Lithuania,73.7514,23.675
Neris,6,0.0381,0.0108,0.023,0.0535,Belarus,73.0896,26.5348
Ness,12,0.0054,0.0013,0.0032,0.007,United Kingdom,78.0512,-4.8357
Neuquén,6,0.0,0.0,0.0,0.0,Argentina,-46.9118,-75.7129
Neva,12,0.0017,0.0008,0.0,0.0022,Russia,83.5181,34.5566
Ngaruroro,6,0.0074,0.0045,0.0032,0.0141,New Zealand,-47.1336,180.0
Ngun,12,0.1069,0.0884,0.0184,0.2991,Laos,21.077,114.4149
Nile,6,0.012,0.0062,0.0051,0.0197,Sudan,34.9804,34.7728
Nizhnyaya Taymyra,12,0.0029,0.0013,0.001,0.005,Russia,90.0,111.0764
North Fork Kuskokwim,6,0.0031,0.0015,0.001,0.005,United States of America,90.0,-172.2342
Ob,6,0.0015,0.0011,0.0,0.0032,Russia,71.1398,90.5407
Ocoña,6,0.0518,0.0056,0.0466,0.0604,Peru,-18.4443,-81.3951
Oder,6,0.0123,0.0054,0.0036,0.017,Poland,70.6001,16.248
Ohau,12,0.0357,0.018,0.002,0.0612,New Zealand,-54.7867,180.0
Oich,12,0.0098,0.0083,0.0,0.0245,United Kingdom,77.2633,-5.3833
Oka,6,0.0358,0.0214,0.0197,0.0784,Russia,75.8067,113.3257
Olenekskaya Protoka,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,136.6248
Olenëk,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,134.2217
Olifants,6,0.0214,0.0129,0.0081,0.0412,South Africa,-36.9988,20.2483
Oloy,6,0.0028,0.0015,0.001,0.005,Russia,90.0,177.4516
Olëkma,6,0.0053,0.001,0.004,0.0064,Russia,84.5365,134.3112
Omolon,6,0.0029,0.0016,0.001,0.005,Russia,90.0,176.6424
Onega,6,0.0023,0.001,0.001,0.0036,Russia,90.0,42.2919
Ongarue,6,0.006,0.0041,0.0022,0.0114,New Zealand,-46.338,180.0
Onilahy,6,0.0115,0.0066,0.002,0.0193,Madagascar,-26.8431,48.7018
Orange,12,0.1253,0.0815,0.0441,0.2652,South Africa,-35.5214,28.9117
Orari,6,0.1163,0.0229,0.0785,0.1374,New Zealand,-54.0836,180.0
Oreti,6,0.1074,0.0236,0.0722,0.1406,New Zealand,-56.24,180.0
Ottawa,12,0.0568,0.0231,0.0269,0.1037,Canada,58.8273,-88.1267
Ou,12,0.0209,0.0215,0.0,0.069,China,32.4315,134.2174
Oulu,6,0.0031,0.0014,0.0014,0.005,Finland,90.0,29.8348
Ozhogina,6,0.0028,0.0015,0.001,0.005,Russia,90.0,168.161
Palar,6,0.0707,0.0134,0.0485,0.085,India,13.8914,89.222
Palyavaam,6,0.0029,0.0016,0.001,0.005,Russia,90.0,180.0
Panama Canal,12,0.0341,0.0176,0.0108,0.0596,Panama,10.1094,-88.7111
Pangani,12,0.0684,0.0296,0.0255,0.1288,United Republic of Tanzania,-3.9926,41.5688
Papaloapan,6,0.005,0.0031,0.0022,0.0106,Mexico,21.0671,-106.4654
Paraiba,6,0.1161,0.0501,0.0291,0.1691,Brazil,-24.4919,-45.6611
Patea,6,0.0086,0.0101,0.0014,0.0288,New Zealand,-47.3896,180.0
Patsoyoki,12,0.0028,0.001,0.0014,0.0042,Norway,90.0,31.6271
Peace,12,0.0096,0.0031,0.0061,0.0151,Canada,80.8147,-126.7076
Pechora,6,0.0012,0.0007,0.0,0.0022,Russia,90.0,59.2131
Pelly,6,0.0034,0.0015,0.002,0.0058,Canada,90.0,-152.8605
Pembuang,6,0.0113,0.0051,0.0032,0.0171,Indonesia,-3.7799,125.3189
Penner,6,0.0377,0.0118,0.0158,0.0512,India,16.2838,89.2216
Penzhina,6,0.0123,0.0068,0.0051,0.0211,Russia,89.3092,180.0
Piako,6,0.0109,0.0044,0.0073,0.0192,New Zealand,-45.2788,180.0
Pinega,6,0.0021,0.0009,0.001,0.0028,Russia,90.0,46.4845
Ping,6,0.0075,0.002,0.0042,0.0098,Thailand,19.3585,110.1604
Pisco,6,0.0701,0.0025,0.0661,0.0724,Peru,-15.2818,-84.8492
Pit,12,0.0079,0.0012,0.0064,0.0098,United States of America,49.5255,-135.9151
Po,6,0.084,0.0488,0.0424,0.1633,Italy,55.4453,7.9082
Podkamennaya Tunguska,6,0.0044,0.0012,0.0022,0.0054,Russia,87.2471,100.3211
Pomahaka,6,0.0177,0.0156,0.003,0.047,New Zealand,-56.6118,180.0
Pongola,12,0.0606,0.0552,0.0114,0.1668,South Africa,-31.4844,35.5011
Popigay,6,0.003,0.0013,0.0014,0.005,Russia,90.0,118.1261
Porcupine,6,0.0034,0.0015,0.002,0.0057,Canada,90.0,-162.0054
Pukaki,6,0.0525,0.023,0.0155,0.0712,New Zealand,-54.6334,180.0
Punguè,6,0.1734,0.0577,0.0751,0.2249,Mozambique,-22.1326,38.4363
Pur,6,0.0017,0.0012,0.0,0.003,Russia,90.0,86.7046
Purari,6,0.0,0.0,0.0,0.0,Papua New Guinea,-8.6751,161.6051
Pyasina,6,0.002,0.0015,0.0,0.004,Russia,90.0,96.6058
Pánuco,6,0.0163,0.0089,0.0071,0.0303,Mexico,24.9328,-109.7498
Péribonka,6,0.0304,0.0171,0.017,0.0603,Canada,62.0334,-80.2117
